کدمحصول,عنوان,لایه درخت,نوع
1310412315,لاتریت آهن دار,5,برگ
1310412318,گابرو آهن دار,5,برگ
1320,استخراج کانسارهای فلزی غیر آهن بجز کانی های اورانیوم و توریم,3,شاخه
1320312301,استخراج کانسارهای فلزی غیر آهن بجز کانی های اورانیوم و توریم,4,شاخه
1320412302,استخراج کانسارهای فلزات قیمتی,5,شاخه
1320512303,پلاتین (استخراج),6,برگ
1320512304,کانسنگ طلا دار (استخراج),6,شاخه
1320612402,کانسنگ طلا اکسیدی,7,برگ
1320612403,کانسنگ طلا سولفیدی,7,برگ
1320512305,کانسنگ نقره دار (استخراج),6,برگ
1320412306,استخراج کانسارهای حاوی آلومینیوم,5,شاخه
1320512308,بوکسیت,6,برگ
1320512365,نفلین سینیت,6,برگ
1320412309,کانسنگ سرب (استخراج),5,شاخه
1320512395,کانسنگ سرب سولفیدی,6,شاخه
1320512310,گالن (سولفید سرب),7,برگ
1320512396,کانسنگ سرب اکسیدی,6,شاخه
1320512366,سروزیت (کربنات سرب),7,برگ
1320612405,کانسنگ سرب اکسیدی و سولفیدی,6,برگ
1320412311,کانسنگ روی (استخراج),5,شاخه
1320512397,کانسنگ روی سولفیدی,6,شاخه
1320512312,اسفالریت,7,برگ
1320512388,اسمیت زونیت,7,برگ
1320512398,کانسنگ روی اکسیدی,6,شاخه
1320512367,کربنات روی (کالامین),7,برگ
1320612401,زینکیت,7,برگ
1320412313,کانسنگ کرومیت (استخراج),5,شاخه
1320512314,کرومیت,6,برگ
1320412315,کانسنگ مس (استخراج),5,شاخه
1320512399,کانسنگ مس سولفیدی,6,شاخه
1320512317,کالکوپیریت,7,برگ
1320512318,کالکوزیت,7,برگ
1320512320,کوولیت,7,برگ
1320512400,کانسنگ مس اکسیدی,6,شاخه
1320512316,آزوریت,7,برگ
1320512319,مالاکیت,7,برگ
1320512369,کوپریت,7,برگ
1320412321,کانسنگ منگنز (استخراج),5,شاخه
1320512322,براونیت,6,برگ
1320512323,پسیلوملان,6,برگ
1320512324,پیرولوزیت,6,برگ
1320512325,رودوکروزیت,6,برگ
1320512371,منگانیت,6,برگ
1320412326,کانسنگ آنتیموان (استخراج),5,شاخه
1320512327,استیب نیت,6,برگ
1320512372,آنتیمونیت,6,برگ
1320412328,کانسنگ مولیبدن (استخراج),5,شاخه
1320512329,مولیبدنیت (استخراج),6,برگ
1320412330,کانسنگ تنگستن (استخراج),5,شاخه
1320512331,ولفرامیت,6,برگ
1320512373,شیلیت,6,برگ
